hash	pr	type	cp_status	nc_conflict	files	ins	del	author	category	confidence	conflict_files	title
290fe1c9f58c	4255	merge	conflict	1	74	14879	345	snowykr	C	high	packages/coding-agent/src/extensibility/extensions/types.ts,packages/coding-agent/src/modes/acp/acp-agent.ts,packages/coding-agent/src/sdk/acp/adapter.ts,packages/coding-agent/src/sdk/bus/index.ts,packages/coding-agent/src/sdk/bus/reconciliation-store.ts,packages/coding-agent/src/sdk/host/host.ts,packages/coding-agent/src/sdk/host/session-runtime.ts,packages/coding-agent/src/sdk/mcp/server.ts,packages/coding-agent/src/session/agent-session.ts,packages/coding-agent/test/helpers/sdk-exact-session-authority.ts,packages/coding-agent/test/sdk-acp-production-path.test.ts,packages/coding-agent/test/sdk-acp-prompt-terminal.test.ts,packages/coding-agent/test/sdk-host-wiring.test.ts,packages/coding-agent/test/sdk-steer-reconciliation.test.ts	Merge pull request #4255 from snowykr/feat/abort-sdk-terminal
0d1d94d3fa6a	4281	squash	conflict	1	109	6045	5609	Yeachan-Heo	C	high	docs/bot-integration.md,docs/sdk-app-guide.md,docs/sdk.md,docs/streamdeck-integration-guide-with-cmux.md,packages/coding-agent/src/commands/sdk.ts,packages/coding-agent/src/sdk/broker/broker.ts,packages/coding-agent/src/sdk/broker/lifecycle.ts,packages/coding-agent/src/sdk/broker/session-index.ts,packages/coding-agent/src/sdk/bus/index.ts,packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts,packages/coding-agent/src/sdk/bus/telegram-daemon.ts,packages/coding-agent/src/sdk/cli/session-cli.ts,packages/coding-agent/src/sdk/client/client.ts,packages/coding-agent/src/sdk/lifecycle/service.ts,packages/coding-agent/src/sdk/protocol/operation-inventory.generated.json,packages/coding-agent/src/sdk/protocol/operation-registry.ts,packages/coding-agent/src/sdk/router/session-router.ts,packages/coding-agent/src/session/internal/managed-session-storage.ts,packages/coding-agent/test/chat-daemon-session-reconnect.test.ts,packages/coding-agent/test/notifications-live-stream.test.ts,packages/coding-agent/test/notifications-telegram-daemon.test.ts,packages/coding-agent/test/notifications-tool-activity.test.ts,packages/coding-agent/test/notifications-topic-registry.test.ts,packages/coding-agent/test/sdk-adapter-dispositions.test.ts,packages/coding-agent/test/sdk-broker-lifecycle-e2e.test.ts,packages/coding-agent/test/sdk-client.test.ts,packages/coding-agent/test/sdk-daemon-cli-e2e.test.ts,packages/coding-agent/test/sdk-lifecycle-service.test.ts,packages/coding-agent/test/sdk-operation-matrix.test.ts,packages/coding-agent/test/sdk-serve-transport.test.ts,packages/coding-agent/test/sdk-session-router-authority.test.ts,scripts/generate-gjc-sdk-skills.test.ts,scripts/generate-gjc-sdk-skills.ts,scripts/telegram-daemon-generation-guard.test.ts,scripts/telegram-daemon-generation-guard.ts,scripts/telegram-daemon-generation-manifest.json,scripts/verify-gjc-sdk-skills.ts,sdk-skills/gjc-sdk-author/templates/direct-sdk.ts	fix(sdk): land the PR #4098 review-cohort fix generations 4-7 (#4281)
364cbfe6108d	4290	merge	changelog-only	1	8	1126	67	Yeachan-Heo	A	high		Merge pull request #4290 from Yeachan-Heo/feat/issue-4287-plugin-loose-surface-separation
8ed14208c433	4295	squash	conflict	0	1	2	0	Yeachan-Heo	D	high	packages/coding-agent/test/gjc-plugin-aliases.test.ts	test(gjc-plugins): use named normalized bundle type (#4295)
efbe4eef8383	4297	squash	changelog-only	1	5	40	10	Yeachan-Heo	E	high		fix(tui): avoid modifyOtherKeys in Apple Terminal (#4297)
eaed3aeca273	4300	squash	conflict	0	1	0	0	Yeachan-Heo	B	medium	packages/coding-agent/src/sdk/broker/broker.ts	style(broker): drop the stray blank line that fails repo-pinned biome on dev (#4300)
8c709b286a17	4269	squash	changelog-only	1	12	481	6	-	A	medium		fix(config): couple eager delegation to vendor-separated model profiles (#4269)
77ce3f7b993c	4289	merge	changelog-only	1	12	1585	18	Yeachan-Heo	A	medium		Merge pull request #4289 from Yeachan-Heo/feat/issue-4286-hook-convention-normalization
5f99c2dea896	4304	squash	clean	0	10	1493	2	Yeachan-Heo	A	high		feat(ai): add native TypeScript Kiro OAuth provider (#4304)
e65397891713	4308	merge	conflict	0	88	1140	40	Yeachan-Heo	B	medium	docs/streamdeck-integration-guide-with-cmux.md	Merge pull request #4308 from Yeachan-Heo/docs/streamdeck-cmux-guide
00d4318ef65b	4254	squash	changelog-only	1	8	140	21	Yeachan-Heo	A	high		fix(sdk): sync session-index snapshot through a writable handle (#4254)
394cee75a8f6	4302	merge	clean	0	2	407	126	Yeachan-Heo	A	high		Merge pull request #4302 from Yeachan-Heo/salvage/pr-4296-image-gen-security
3cf0aa531abd	4272	squash	conflict	1	14	289	49	Yeachan-Heo	B	medium	packages/coding-agent/src/sdk/broker/lifecycle.ts,packages/coding-agent/src/sdk/bus/chat-daemon-control.ts,packages/coding-agent/src/sdk/bus/chat-daemon-runtime.ts,packages/coding-agent/src/sdk/router/session-router.ts,packages/coding-agent/test/helpers/sdk-exact-session-authority.ts,packages/coding-agent/test/sdk-chat-daemon-worker.test.ts,scripts/telegram-daemon-generation-manifest.json	fix(dev-ci): repair the 0.13.1-window regressions and the session-index lock storm (#4263) (#4272)
27a63180501e	4271	merge	changelog-only	2	28	3459	50	Yeachan-Heo	A	medium		Merge pull request #4271 from Yeachan-Heo/feat/issue-4259-crash-report
e389ebc1b511	4306	squash	clean	0	6	38	36	Yeachan-Heo	A	high		fix(test): revert shared package-cwd preload; pin overflow budgets in-process (#4224) (#4306)
37ec2c5f87aa	4301	squash	changelog-only	1	8	105	21	Yeachan-Heo	A	high		fix(models): fall back from unavailable Opus 5 (#4301)
eef03e4617f6	4307	squash	clean	0	2	83	0	-	A	high		fix(hooks): validate constrained metadata before import (#4307)
56302cda4e92	-	direct	conflict	0	3	42	0	(direct)	B	low	packages/coding-agent/test/session-manager/session-directory.test.ts	fix(session): heal over-limit scope before binding publication
08c527fd8ca3	4314	squash	conflict	0	1	11	0	Yeachan-Heo	B	medium	packages/coding-agent/bunfig.toml	fix(test): restore package-cwd TMPDIR preload without budget pin (#4224 follow-up) (#4314)
bad55adb363a	4294	merge	changelog-only	2	14	466	4	Yeachan-Heo	A	medium		Merge pull request #4294 from Yeachan-Heo/feat/muse-spark-presets
f59e2ee56d19	4310	squash	conflict	1	11	587	48	-	B	medium	packages/coding-agent/src/sdk/bus/chat-daemon-control.ts,scripts/telegram-daemon-generation-manifest.json	fix(update): recover managed notifications after verified install (#4310)
ff1d4584cd03	4270	merge	conflict	1	9	230	24	Yeachan-Heo	C	high	packages/coding-agent/src/coordinator-mcp/server.ts,packages/coding-agent/src/sdk/acp/adapter.ts,packages/coding-agent/src/sdk/client/client.ts,packages/coding-agent/src/sdk/router/session-router.ts,packages/coding-agent/test/coordinator-mcp-server.test.ts,packages/coding-agent/test/sdk-acp-adapter.test.ts,packages/coding-agent/test/sdk-session-router-authority.test.ts	Merge pull request #4270 from Yeachan-Heo/fix/issue-4258-acp-cold-timeout
ff0a73635b36	4279	merge	conflict	1	14	1979	1477	Yeachan-Heo	D	high	artifacts/session-gib-stress-source-bound-2026-08-10.json,packages/coding-agent/src/session/session-manager.ts,packages/coding-agent/test/session-manager-rejected-open-cleanup.test.ts	Merge pull request #4279 from Yeachan-Heo/research/stress-test
73eb359d4e39	4298	squash	conflict	1	12	293	39	Yeachan-Heo	B	medium	packages/coding-agent/src/sdk/session.ts,packages/coding-agent/src/session/agent-session.ts,scripts/ci-dev-affected.test.ts,scripts/ci-dev-affected.ts	fix(dev-ci): repair issue #4293 unowned shard regressions (#4298)
818896af4290	4317	squash	changelog-only	2	15	452	4	chulmin-dev	A	medium		feat(auth): add --prefer-credential soft quota fallback for multi-account pools (#4317)
0c97d3820aed	4320	squash	changelog-only	1	4	577	0	-	A	high		feat(herdr): report gjc lifecycle state inside Herdr panes (salvage of #4318) (#4320)
2067b93976f5	4322	merge	changelog-only	1	5	503	3	Yeachan-Heo	A	high		Merge pull request #4322 from Yeachan-Heo/fix/issue-4319-persist-tool-choice-capability
fd51adf874f8	4323	merge	conflict	1	4	233	17	Yeachan-Heo	B	medium	packages/coding-agent/src/sdk/broker/session-index.ts,packages/coding-agent/test/sdk-session-index.test.ts	Merge pull request #4323 from Yeachan-Heo/fix/telegram-daemon-session-ambiguity
e8af95c8332e	4313	squash	conflict	0	8	533	52	Yeachan-Heo	B	medium	packages/coding-agent/src/config/model-registry.ts,packages/coding-agent/test/model-profile-activation.test.ts	fix(models): retain authoritative provider catalog IDs (#4313)
cae0c20cb895	4328	merge	changelog-only	1	4	246	3	nahyeongjin1	A	high		Merge pull request #4328 from nahyeongjin1/feat/worktree-bucket-env
40def6aceffb	4325	merge	conflict	1	6	211	19	Yeachan-Heo	B	medium	packages/coding-agent/src/coordinator-mcp/server.ts,packages/coding-agent/src/sdk/cli/session-cli.ts,packages/coding-agent/test/coordinator-mcp-server.test.ts,packages/coding-agent/test/sdk-acp-adapter.test.ts	Merge pull request #4325 from Yeachan-Heo/fix/issue-4258-followup-deadlines
759811d139bb	4337	merge	conflict	1	4	570	9	Yeachan-Heo	B	medium	packages/coding-agent/src/modes/acp/acp-agent.ts	Merge pull request #4337 from Yeachan-Heo/fix/issue-4324-acp-cancel-settlement
4a927889f3c1	4321	squash	conflict	2	9	599	0	chulmin-dev	B	medium	docs/custom-providers-and-multi-account.md	feat(auth): add /credential slash command for mid-session account switching (#4321)
94f48b77586e	4339	merge	changelog-only	1	3	721	0	Yeachan-Heo	A	high		Merge pull request #4339 from Yeachan-Heo/fix/issue-4338-cpa-tool-alias-recovery
2d5180fb696b	4344	squash	conflict	1	5	107	19	Yeachan-Heo	B	medium	packages/coding-agent/src/commands/sdk.ts	fix(sdk): restore the broker startup-failure marker writer and bind it to the exact spawned child (#
55f12b8c5127	4343	squash	conflict	0	1	11	2	Yeachan-Heo	B	medium	packages/coding-agent/src/session/session-manager.ts	fix(session): defer managed identity adoption in moveTo when no destination transcript exists (#4343
723fc1a2572a	4312	squash	changelog-only	1	3	333	11	Yeachan-Heo	E	high		fix(tui): emit coalesced multi-Esc chunks as individual presses (#4312)
3df33d0a2fdb	4333	squash	clean	0	5	243	42	Yeachan-Heo	A	high		fix(streamdeck): page current SDK ask options (#4333)
c63766cd28bc	4346	squash	changelog-only	1	3	29	0	-	E	high		fix(sdk): hide the Windows process-incarnation PowerShell console (#4346)
a7f5ac7870e8	4326	merge	conflict	1	8	438	443	lotgood	B	medium	packages/coding-agent/src/session/agent-session.ts	Merge pull request #4326 from lotgood/fix/session-continuation-task-render
7948d2e15615	4248	squash	conflict	0	25	6139	802	-	B	medium	packages/coding-agent/src/coordinator-mcp/server.ts,packages/coding-agent/src/gjc-runtime/session-state-sidecar.ts,packages/coding-agent/test/coordinator-mcp-server.test.ts,packages/coding-agent/test/session-state-sidecar.test.ts	feat(coordinator): harden bounded current tool activity (#4248)
39ef440912fd	4347	squash	noop	0	3	16	0	-	E	high		fix: preserve prompt suggestions after cancelled actions (#4347)
1cd83d3f88e1	4353	merge	clean	0	1	19	0	Yeachan-Heo	A	high		Merge pull request #4353 from Yeachan-Heo/fix/issue-4342-g013-shard-pressure
4b386a94810b	4354	merge	conflict	0	2	102	5	Yeachan-Heo	C	high	packages/ai/src/utils/tool-choice-capability.ts,packages/ai/test/tool-choice-capability.test.ts	Merge pull request #4354 from Yeachan-Heo/fix/issue-4319-persist-tool-choice-capability
ef3bd5c2276b	4349	merge	changelog-only	1	27	1613	758	Yeachan-Heo	A	medium		Merge pull request #4349 from Yeachan-Heo/feat/issue-4285-skill-zero-config-discovery
bf441220a850	4345	squash	changelog-only	2	7	467	15	Yeachan-Heo	A	high		fix(natives): retry transient Windows destination sharing violations in exactReplacePath (#4345)
bc2492af38d8	4327	squash	conflict	1	7	300	14	yazzang-homelab	B	medium	packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts,packages/coding-agent/src/sdk/bus/telegram-daemon.ts,packages/coding-agent/test/notifications-telegram-daemon.test.ts,packages/coding-agent/test/notifications-topic-registry.test.ts,scripts/telegram-daemon-generation-manifest.json	fix(notifications): settle Telegram topic archives in private chats (#4327)
9fd5f5ab1146	4348	squash	clean	0	4	196	6	Yeachan-Heo	A	high		fix(status-line): deduplicate PR lookups across instances (#4332) (#4348)
6102c6333f3d	4230	squash	clean	0	4	152	110	Yeachan-Heo	A	high		fix(sdk): verify session endpoint removal after graceful shutdown (#4230)
9cd9cdce2e1a	4352	squash	conflict	2	20	571	12	yazzang-homelab	B	medium	packages/agent/src/agent-loop.ts,packages/ai/src/providers/mock.ts,packages/ai/src/providers/openai-responses-shared.ts,packages/ai/src/types.ts	fix(ai): reject tool arguments that spell non-ASCII text as \uXXXX escapes (#4352)
41473691c5a9	4335	squash	changelog-only	1	23	1724	143	Yeachan-Heo	A	medium		feat(mcp): activate conventional autoload for native .gjc MCP registrations (#4335)
ffcd048d50cd	4299	squash	conflict	1	7	136	6	Yeachan-Heo	B	medium	packages/coding-agent/src/sdk/host/session-runtime.test.ts,packages/coding-agent/src/sdk/host/session-runtime.ts,packages/coding-agent/src/session/agent-session.ts	fix(sdk): preserve workflow gate recovery during shutdown (#4299)
6c3854c52a82	4359	squash	conflict	0	3	13	3	Yeachan-Heo	B	medium	packages/coding-agent/src/session/agent-session.ts,packages/coding-agent/src/session/session-manager.ts	fix(session): resolve shard-1-of-8 lifecycle cluster failures (#4359)
d314993007ab	4329	squash	conflict	1	8	364	130	Yeachan-Heo	B	medium	packages/coding-agent/src/sdk/bus/index.ts,packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts,packages/coding-agent/src/sdk/host/session-runtime.ts,packages/coding-agent/src/session/terminal-abort.ts,packages/coding-agent/test/session/terminal-abort.test.ts,scripts/telegram-daemon-generation-manifest.json	refactor(sdk): unify duplicated durable terminal-retention writes (#4329)
9eb997bb55a8	4336	merge	conflict	1	17	167	102	Yeachan-Heo	B	medium	packages/coding-agent/src/sdk/broker/session-index.ts,packages/coding-agent/src/sdk/bus/config.ts,packages/coding-agent/src/sdk/bus/index.ts,packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts,packages/coding-agent/src/sdk/bus/telegram-daemon.ts,packages/coding-agent/src/tools/bash.ts,packages/coding-agent/test/notifications-config.test.ts,packages/coding-agent/test/notifications-telegram-daemon.test.ts,packages/coding-agent/test/notifications-topic-registry.test.ts,packages/coding-agent/test/sdk-host-wiring.test.ts,packages/coding-agent/test/sdk-session-index.test.ts,scripts/telegram-daemon-generation-guard.test.ts,scripts/telegram-daemon-generation-guard.ts,scripts/telegram-daemon-generation-manifest.json	Merge pull request #4336 from Yeachan-Heo/fix/telegram-threaded-eligibility
6543e608560c	4358	squash	conflict	1	6	170	5	Yeachan-Heo	B	medium	packages/coding-agent/src/coordinator-mcp/server.ts,packages/coding-agent/test/session-state-lock.test.ts	fix(coordinator): terminal session must not report ready_for_input (#4351) (#4358)
65631379e8a4	4268	squash	conflict	1	19	830	86	twoimo	B	medium	docs/sdk.md,docs/telegram-onboarding.md,packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts,packages/coding-agent/src/sdk/bus/telegram-daemon.ts,packages/coding-agent/test/helpers/telegram-topic-test.ts,packages/coding-agent/test/notifications-config.test.ts,packages/coding-agent/test/notifications-topic-registry.test.ts,scripts/telegram-daemon-generation-manifest.json	fix(telegram): reconcile orphaned session topics (#4268)
a17c8417d2e0	4360	squash	conflict	1	15	150	94	snowykr	B	medium	docs/adr-abort-sdk-terminal-turn-owned.md,docs/environment-variables.md,docs/external-control-readiness.md,packages/coding-agent/src/modes/acp/abort-scope.ts,packages/coding-agent/src/modes/acp/acp-agent.ts,packages/coding-agent/src/sdk/acp/adapter.ts,packages/coding-agent/test/acp-prompt-watchdog.test.ts,packages/coding-agent/test/acp/acp-cancel-settlement.test.ts,packages/coding-agent/test/acp/acp-fallback-cancel-completion.test.ts,packages/coding-agent/test/sdk-acp-abort-scope.test.ts,packages/coding-agent/test/sdk-acp-adapter.test.ts,packages/coding-agent/test/sdk-acp-production-path.test.ts,packages/coding-agent/test/sdk-acp-prompt-terminal.test.ts	fix(acp): restore turn as the default session/cancel abort scope (#4360)
f46bdea89b2c	4199	squash	conflict	1	63	21258	370	Yeachan-Heo	E	high	docs/sdk-app-guide.md,docs/sdk.md,packages/coding-agent/src/sdk/bus/chat-daemon-control.ts,packages/coding-agent/src/sdk/bus/chat-daemon-runtime.ts,packages/coding-agent/src/sdk/bus/discord-daemon.ts,packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts,packages/coding-agent/src/sdk/bus/telegram-daemon.ts,packages/coding-agent/src/session/session-manager.ts,packages/coding-agent/test/daemon-control.test.ts,packages/coding-agent/test/sdk-discord-daemon.test.ts,scripts/ci-dev-affected.test.ts,scripts/ci-dev-affected.ts,scripts/telegram-daemon-generation-manifest.json	feat(master): add managed orchestration sessions (#4199)
5f78d769b17c	4364	squash	changelog-only	2	11	102	3	Yeachan-Heo	A	medium		feat(cli): support 가재씨 as a Korean launcher alias for gjc (#4364)
b10c9c405d36	4365	squash	conflict	1	6	118	10	Yeachan-Heo	B	medium	packages/coding-agent/src/sdk/bus/chat-daemon-control.ts,packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts,scripts/telegram-daemon-generation-manifest.json	fix(sdk): skip PowerShell when native binding reports absent process (#4362, #4365)
ef269a7ba519	4282	squash	conflict	2	28	2180	1012	snowykr	B	medium	packages/agent/src/agent.ts,packages/coding-agent/src/modes/acp/acp-agent.ts,packages/coding-agent/src/sdk/broker/broker.ts,packages/coding-agent/src/sdk/bus/index.ts,packages/coding-agent/src/sdk/bus/reconciliation-store.ts,packages/coding-agent/src/sdk/bus/telegram-daemon-contract.ts,packages/coding-agent/src/sdk/host/session-runtime.test.ts,packages/coding-agent/src/sdk/host/session-runtime.ts,packages/coding-agent/src/sdk/session.ts,packages/coding-agent/src/session/agent-session.ts,packages/coding-agent/src/session/terminal-abort.ts,packages/coding-agent/test/agent-session-terminal-abort-chain.test.ts,packages/coding-agent/test/notifications-topic-registry.test.ts,packages/coding-agent/test/sdk-chat-daemon-worker.test.ts,packages/coding-agent/test/sdk-daemon-cli-e2e.test.ts,packages/coding-agent/test/sdk-host-wiring.test.ts,packages/coding-agent/test/sdk-reconciliation-store.test.ts,scripts/run-sdk-production-host-isolated.ts,scripts/telegram-daemon-generation-manifest.json	fix(sdk): close post-merge review threads on the C04 terminal abort (#4282)
99aa9db2b02f	-	direct	conflict	0	1	8	16	(direct)	D	high	docs/external-control-readiness.md	docs(acp): move the owned-abort example to the Paseo section only
278f0a6b4745	4373	squash	clean	0	2	146	19	-	A	high		fix(session): reconcile Windows replacement receipts safely (#4373)
54c92fbf9a65	4371	squash	conflict	0	4	160	8	Yeachan-Heo	B	medium	packages/coding-agent/src/sdk/acp/adapter.ts,packages/coding-agent/src/sdk/router/session-router.ts	fix(acp): prevent stale attachment from terminalizing ACP session (#4356) (#4371)
547b4cfce337	4375	squash	conflict	0	4	85	6	-	B	medium	packages/coding-agent/scripts/generate-sdk-operation-inventory.ts,packages/coding-agent/src/crash/report.ts,packages/coding-agent/src/sdk/protocol/operation-inventory.generated.json,packages/coding-agent/test/crash-index-store.test.ts	fix(ci): repair coding-agent shard baseline (#4375)
e614bc143b60	4379	merge	conflict	1	5	141	14	Yeachan-Heo	B	medium	packages/coding-agent/src/sdk/bus/chat-daemon-control.ts,scripts/telegram-daemon-generation-manifest.json	Merge pull request #4379 from Yeachan-Heo/owner/pr-4376-chat-daemon-probe
caf1dae61b8c	4377	merge	conflict	2	18	7863	1183	jason931225	B	medium	docs/models.md	Merge pull request #4377 from jason931225/feat/grok-4.6-presets
d1d28d6e4fbe	4381	squash	conflict	1	3	2	4	Yeachan-Heo	B	medium	scripts/ci-dev-affected.test.ts,scripts/ci-dev-affected.ts	fix(ci): remove --isolate from coding-agent shard command (#4378) (#4381)
bbc9b0432381	4383	merge	conflict	1	4	249	0	Yeachan-Heo	B	medium	packages/ai/src/providers/anthropic.ts	Merge pull request #4383 from Yeachan-Heo/fix/issue-4380-anthropic-proxy-diagnostic
6add8ad61152	4385	squash	clean	0	2	92	3	Yeachan-Heo	A	high		fix(ai): validate Synthetic API key via models endpoint, not retired Kimi probe (#4385)
8e5c0e8a6320	4388	merge	conflict	1	5	314	67	Yeachan-Heo	B	medium	packages/ai/src/providers/anthropic.ts	Merge pull request #4388 from Yeachan-Heo/fix/issue-4382-thinking-repair-noop
30628db609a9	4390	merge	conflict	1	6	217	8	Yeachan-Heo	B	medium	packages/coding-agent/src/config/model-registry.ts,packages/coding-agent/test/acp-builtins.test.ts	Merge pull request #4390 from Yeachan-Heo/owner/pr-4387-default-thinking
020521fe0341	4386	merge	changelog-only	1	11	618	18	jason931225	A	medium		Merge pull request #4386 from jason931225/fix/grok-usage-weekly-credits
c81614fc7708	4396	merge	conflict	2	7	428	21	Yeachan-Heo	B	medium	packages/coding-agent/test/managed-publication-event-loop.test.ts,packages/natives/native/index.d.ts	Merge pull request #4396 from Yeachan-Heo/fix/issue-4394-managed-output-publication-hang
9d25e79b8fd1	4397	squash	conflict	0	16	500	4	Yeachan-Heo	B	medium	packages/coding-agent/src/sdk/host/session-runtime.ts	feat(sdk): bounded progress-aware prompt deadline lease with hard cap and exact-turn isolation (#439
178fc2624803	4395	squash	conflict	0	5	384	0	Yeachan-Heo	B	medium	packages/coding-agent/src/session/agent-session.ts	fix(controller): reject malformed extension user messages (#4395)
