commit_sha	pr	classification	overlap_count	subject	reason
a17c8417d2e00d4a8918057cf037da8f484cabbb	4360	MUST_REVERT	8	fix(acp): restore turn as the default session/cancel abort scope (#4360)	#4360: restore turn abort scope. Touches ACP adapter/router integrated with #4098 lifecycle
b10c9c405d3645c8aeb87717568cf9a9ae697c3e	4362	MUST_REVERT	5	fix(sdk): skip PowerShell when native binding reports absent process (#4362, #4365)	#4362/#4365: skip PowerShell via #4098's chat-daemon-control lifecycle. Touches chat-daemon-control.ts (#4098-introduced lifecycle)
bc2492af38d8b159e632cbf2f658c183c880c206	4327	MUST_REVERT	6	fix(notifications): settle Telegram topic archives in private chats (#4327)	#4327: telegram topic archives via #4098 daemon lifecycle. Touches telegram-daemon-contract.ts/daemon.ts (#4098-refactored)
cf07293f7404b35c085dde35013aa5a12d595ad5	4403	MUST_REVERT	4	fix(notifications): #4403 acceptance successor — process-group reap, fail-closed CLI, watchdog reconciliation (#4480)	#4480: process-group reap. Touches telegram-daemon-cli/contract/daemon.ts (#4098-refactored daemon lifecycle)
d314993007abfaeef1e593f1a64ee25b15658a5b	4329	MUST_REVERT	5	refactor(sdk): unify duplicated durable terminal-retention writes (#4329)	#4329: unify #4098's durable terminal-retention writes. Touches host/session-runtime.ts (#4098-refactored)
e02f6c5be93dd1efe00360eb7d47be8451c0d5a2	4427	MUST_REVERT	10	fix(sdk): detach chat-provider daemon ownership from session lifecycle (#4427)	#4427: detach chat-provider daemon ownership from #4098's session lifecycle. Touches bus/index.ts lifecycle wiring
eaed3aeca2730fab0d07b23b651d7bb1c598a32b	4300	MUST_REVERT	1	style(broker): drop the stray blank line that fails repo-pinned biome on dev (#4300)	#4300: trivial style fix in broker.ts but broker.ts was substantially rewritten by #4098. Reverting #4098 reverts this too.
ef269a7ba51990f163a68795352fde4f170a0f89	4282	MUST_REVERT	16	fix(sdk): close post-merge review threads on the C04 terminal abort (#4282)	#4282: close post-merge review threads on C04 terminal abort. Touches run-sdk-production-host-isolated.ts (NEW)
f7b77e5785cc6a7919141b0353ef9e54fa7cb911		MUST_REVERT	1	fix(sdk): classify extensions dashboard inventory seam	classify extensions dashboard inventory seam in operation-inventory.generated.json (#4098-generated)
ffcd048d50cd1dac32cdc2074109a42d73e62f06	4299	MUST_REVERT	3	fix(sdk): preserve workflow gate recovery during shutdown (#4299)	#4299: workflow gate recovery during shutdown. Touches host/session-runtime.ts (#4098-refactored)
ace25b5bd84a8e4bb4c0827295eb6427599a4f79	4278	REAPPLY_AFTER_REVERT	2	fix(sdk): terminalize scrubbed transcript deletion and update retired CLI ingress (#4278)	#4278: terminalize scrubbed transcript deletion. Fixes real issue but uses #4098 CLI ingress.
e389ebc1b51149d5e783a1c23ba366e707e14f43	4224	RETAIN_INDEPENDENT	1	fix(test): revert shared package-cwd preload; pin overflow budgets in-process (#4224) (#4306)	Test preload fix for session-context-overflow.test.ts (pre-existing test, no #4098 API dependency)
01b370fba17638abd7d8cac866ceabb1f1e7ebab		RETAIN_INDEPENDENT	1	fix(ci): add trusted PR contract bootstrap	Trusted PR contract bootstrap. dev-ci.yml existed pre-#4098.
099ca7ec19654b2863f0a113ed569c8e7e96b9f5		RETAIN_INDEPENDENT	4	chore: bump version to 0.13.2	Version bump 0.13.2. Lockfile/changelog only.
0ca33b8532ea4f5377d5d6c01143d89b8d85aab9	4419	RETAIN_INDEPENDENT	1	fix(task): exclude exact MCP managers from subagents (#4419)	Only incidental files (CHANGELOG, lockfile, CI, daemon-gen) overlap
12e1df1724bec0b7b1a40988cdc2a0c7dcca29ec	4292	RETAIN_INDEPENDENT	1	feat(mcp): support MCP 2026-07-28 stateless protocol (MCP v2) (#4292)	Only incidental files (CHANGELOG, lockfile, CI, daemon-gen) overlap
178fc2624803c76ee4fc5bc6ce89e7ed8f906373	4395	RETAIN_INDEPENDENT	1	fix(controller): reject malformed extension user messages (#4395)	#4395: extension UI controller fix. Existed pre-#4098.
295d7801aa1b5c9c297f4ada48f370da8ea01735	4483	RETAIN_INDEPENDENT	3	fix(coordinator-mcp): narrow DR-1 post-close proof for incarnation-bound reap (#4483)	#4483: coordinator-mcp idempotency lock artifacts. coordinator-mcp existed pre-#4098.
2d39e6d6df66d87181384fb9232ce61bfc7d2bf8	4417	RETAIN_INDEPENDENT	1	feat(setup): add gjc setup paseo to register GJC as a Paseo provider (replacement for #4417, credits @probepark)	Only incidental files (CHANGELOG, lockfile, CI, daemon-gen) overlap
3354698b5339fa6337731e734ee75b7324e027b0	4412	RETAIN_INDEPENDENT	2	fix(coordinator-mcp): answer ping keepalive with empty result (#4412)	#4412: coordinator-mcp ping keepalive. coordinator-mcp/server.ts existed pre-#4098.
37ec2c5f87aac47c35a870b4969b53620a354d7c	4301	RETAIN_INDEPENDENT	1	fix(models): fall back from unavailable Opus 5 (#4301)	Only incidental files (CHANGELOG, lockfile, CI, daemon-gen) overlap
41473691c5a97de8ce0c3b10ae03e358df90f489	4335	RETAIN_INDEPENDENT	1	feat(mcp): activate conventional autoload for native .gjc MCP registrations (#4335)	Only incidental files (CHANGELOG, lockfile, CI, daemon-gen) overlap
429c7c54ce54f9505b8e43435ad5c2cb5e1718d7	4401	RETAIN_INDEPENDENT	1	fix(notifications): bump chat daemon generations for shared Router lifecycle changes (#4401 postmerge) (#4405)	Only incidental files (CHANGELOG, lockfile, CI, daemon-gen) overlap
4675bf072d45745edd1c62abf0548a12de5f4bc9	4402	RETAIN_INDEPENDENT	2	feat(herdr): report the gjc session title to the containing pane (#4402)	Only incidental files (CHANGELOG, lockfile, CI, daemon-gen) overlap
4a038bc0774a73ea5e83c686cd701d775feafe73	4467	RETAIN_INDEPENDENT	1	fix(ci): regenerate telegram closure manifest after merge (#4467)	#4467: regenerate telegram closure manifest. Manifest existed pre-#4098.
4a927889f3c138b0f2efd2e86024ae278f5ef9cc	4321	RETAIN_INDEPENDENT	1	feat(auth): add /credential slash command for mid-session account switching (#4321)	Only incidental files (CHANGELOG, lockfile, CI, daemon-gen) overlap
4e4f7ce84ca842753c223f8eaf880dc0d501de2e	4410	RETAIN_INDEPENDENT	4	feat(ci): auto-repair daemon generation bumps from semantic guard changes (#4410)	#4410: auto-repair daemon gen bumps. Daemon gen files existed pre-#4098.
50a787116a498b93b6b2082b9fbb918a804b8e78	4403	RETAIN_INDEPENDENT	1	fix(test): update stale DAEMON_GENERATION assertion 165→166 (#4403 postmerge) (#4493)	#4493: DAEMON_GENERATION assertion update. notifications-topic-registry.test.ts existed pre-#4098, assertion bump.
515f1c7cb244f2cc5a1863af016f2a2e31ae22c5	4421	RETAIN_INDEPENDENT	1	fix(session): recover missing managed transcripts (#4421)	Only incidental files (CHANGELOG, lockfile, CI, daemon-gen) overlap
5f78d769b17ce7dd11bf58fe9dadf7ce95c0a6b0	4364	RETAIN_INDEPENDENT	3	feat(cli): support 가재씨 as a Korean launcher alias for gjc (#4364)	Only incidental files (CHANGELOG, lockfile, CI, daemon-gen) overlap
61f443d9bff05ef24cc7f2e6380da1d23e6a863b	4482	RETAIN_INDEPENDENT	1	fix(docs): restore accurate removed-surface wording in bot integration docs (#4482)	#4482: docs removed-surface wording. bot-integration.md existed pre-#4098.
628604d5b67e8af376d31667a14b1c13f281e183	4429	RETAIN_INDEPENDENT	1	feat(tui): support /theme <name> for immediate theme switching (#4429)	Only incidental files (CHANGELOG, lockfile, CI, daemon-gen) overlap
6543e608560c6001df469ce8d036d14d8bfcabd3	4351	RETAIN_INDEPENDENT	3	fix(coordinator): terminal session must not report ready_for_input (#4351) (#4358)	#4358: coordinator ready_for_input fix. coordinator-mcp existed pre-#4098.
67b65937617c44c21f489744ea4bb149f41fbf33	4246	RETAIN_INDEPENDENT	2	fix(session): close retained-authority residuals (#4246)	Only incidental files (CHANGELOG, lockfile, CI, daemon-gen) overlap
71c6cdf5d7dd95d6b870ed41a3c15c737161abbf		RETAIN_INDEPENDENT	1	docs(customization): align hook runtime authority	Only incidental files (CHANGELOG, lockfile, CI, daemon-gen) overlap
7247cc755109ee5362ed176693980cdd5f38e4b7		RETAIN_INDEPENDENT	1	fix(settings): complete the retirement recovery and publication-proof follow-ups	Only incidental files (CHANGELOG, lockfile, CI, daemon-gen) overlap
73eb359d4e39a153a08db219397f0ee5c61dd16f	4293	RETAIN_INDEPENDENT	3	fix(dev-ci): repair issue #4293 unowned shard regressions (#4298)	Only incidental files (CHANGELOG, lockfile, CI, daemon-gen) overlap
7931cf6995a58cd02e5e43e65939af2656530715	4484	RETAIN_INDEPENDENT	1	fix(coordinator): isolate idempotency lock artifacts from record directory (#4484)	#4484: coordinator idempotency lock artifacts. coordinator-mcp existed pre-#4098.
818896af4290c9a1673d9789527ec89f6baa318b	4317	RETAIN_INDEPENDENT	1	feat(auth): add --prefer-credential soft quota fallback for multi-account pools (#4317)	Only incidental files (CHANGELOG, lockfile, CI, daemon-gen) overlap
8d6784cb374386367a9ddb1e8777645cb4c12723	4408	RETAIN_INDEPENDENT	1	fix(session): recover from managed transcript content_too_large (#4408) (#4411)	Only incidental files (CHANGELOG, lockfile, CI, daemon-gen) overlap
a7b487e58773f5f35480ce7996e2bbb404898e96	4420	RETAIN_INDEPENDENT	5	chore(repo): untrack artifacts/ and define test working space policy (#4420)	#4420: untrack artifacts/ policy. AGENTS.md/ci-dev-affected existed pre-#4098.
b5ef23f52208e3eaf0a25c1eaf0056b8f6b191c5	4446	RETAIN_INDEPENDENT	1	fix(coding-agent): terminate completed print runs (#4446)	Only incidental files (CHANGELOG, lockfile, CI, daemon-gen) overlap
b7e0dea98c07082830b2a3bf66ec933c89633ffd	4288	RETAIN_INDEPENDENT	1	feat(customization): add provenance-aware customization doctor (#4288)	Only incidental files (CHANGELOG, lockfile, CI, daemon-gen) overlap
be92463bab085e216ef3b4c0c74e09717bf9cf05	4465	RETAIN_INDEPENDENT	2	fix(subagent): observable await liveness + sleep smell warning (#4465)	#4465: subagent await liveness. bash.md existed pre-#4098.
bf441220a8501422db350077dd6819f899176174	4345	RETAIN_INDEPENDENT	4	fix(natives): retry transient Windows destination sharing violations in exactReplacePath (#4345)	#4345: Windows exactReplacePath. managed-session-storage existed pre-#4098, fix is to natives.
d1d28d6e4fbe503d4f1f6f5425788411bc436728	4378	RETAIN_INDEPENDENT	3	fix(ci): remove --isolate from coding-agent shard command (#4378) (#4381)	Only incidental files (CHANGELOG, lockfile, CI, daemon-gen) overlap
f0a44081afe3dbebeba3afb9ab380517ebd6c8d7	4475	RETAIN_INDEPENDENT	3	fix(test): split sdk-adapter-dispositions to stay under CI file-timeout (#4475)	#4475: split test file for CI timeout. Test file existed pre-#4098.
f44f6fbe179d25b92aa245fe2096739e6be42e6e	4245	RETAIN_INDEPENDENT	1	fix(settings): follow-up to #4245 review threads — retirement ordering, marker fail-closed, probe robustness, Bun.write staging (#4277)	Only incidental files (CHANGELOG, lockfile, CI, daemon-gen) overlap
